Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
home	2.47712125471966	10.5403978824616	13.7839040756226	7.29689168930054	11.4552197092248	10.3486377433559	3.73093156594016	0.0140099594814303
house	2.47712125471966	9.32270884513856	12.0695142745972	6.57590341567993	12.8779246254518	8.7955784544441	2.09972917849458	0.268676763013683
how	2.47712125471966	8.30762290954589	10.7839183807373	5.83132743835449	9.91595340145249	7.81034413701856	2.73088394910724	0.208762629723834
hug	2.47712125471966	9.19474601745606	13.3475914001465	5.04190063476562	12.6682135143181	8.32296326710988	2.50190519361187	0.175649182121587
if	2.47712125471966	7.86747527122497	9.64912986755371	6.08582067489624	10.3009405067018	7.51933057234507	2.06785359858946	0.430460871337934
inside	2.47712125471966	9.62766313552858	12.6534929275513	6.60183334350586	14920.3398456895	9.22006864490874	-3.44446461366707	0.586887396981682
is	2.47712125471966	4.31900548934937	6.36473751068115	2.27327346801758	6.31044337478697	3.56620092255901	2.21027434052223	0.314982637021297
it	2.30108270781096	4.04400932788849	5.59968423843384	2.48833441734314	5.71392402941381	3.41810007631958	2.1246050220264	0.179836596012326
jacket	2.4237964666215	8.91391885280611	13.8827877044678	3.94505000114441	13.7454539654237	7.0947724985762	2.3354546014919	0.0904403627287374
juice	2.46422384967108	11.3904430866241	18.6192512512207	4.16163492202759	82.4634932836185	6.70633856490382	0.278720888072502	0.803631575239364
kitty	2.47351537053917	7.20102262496948	9.47698974609375	4.92505550384521	4366.3676950358	6.01402753181843	-4.30013724174257	0.825188627188072
light	2.47712125471966	8.45685148239137	11.2521085739136	5.66159439086914	11.9335756146399	8.4407021307086	2.14932193875197	0.296482862574926
like	2.47712125471966	6.52986168861389	8.26871013641357	4.79101324081421	6.69522857517477	6.26264551192407	2.86953445772095	0.0136421403637406
little	2.36785681364461	6.74959731101989	8.1755199432373	5.32367467880249	3810.3773391452	6.58913755000073	-2.09305582508526	0.44283981714897
look	2.47712125471966	8.18598937988282	9.84484100341797	6.52713775634766	1981.84065548872	8.09372098302398	-3.73667741944768	0.652178513327812
make	2.44843498632137	8.39334344863889	10.2746429443359	6.51204395294189	10.3659313132164	7.6896109461673	2.25356233529313	0.189067653794662
me	2.42945834682682	5.05321514606476	7.57538652420044	2.53104376792908	7.99184941718378	3.99002975758158	2.16623206937389	0.258908854646369
milk	2.47712125471966	8.66669559478762	11.7772073745728	5.55618381500244	4057.61951735201	7.27280832825369	-26.1681704136281	3.74602357210387
mommy	2.47712125471966	10.1435842514038	11.9620323181152	8.32513618469238	11.7894081066748	10.189950891425	2.44719667139087	0.192008592187981
more	2.47712125471966	6.57745313644409	8.78085136413574	4.37405490875244	8.25575967840836	5.68310652603722	2.46687354000222	0.190341882805783
much	2.47712125471966	7.98199081420897	11.2391490936279	4.72483253479004	10.5822333190043	6.79436023548425	2.85908517528649	0.171435540686308
my	2.47712125471966	7.42195463180542	9.38984298706055	5.45406627655029	42468.5476577909	6.74354982647155	-9.42670639631612	1.09504103370404
need	2.47712125471966	5.61766004562378	7.77033758163452	3.46498250961304	7.39820108077755	5.78587423910991	2.24558433044907	0.180959792811504
new	2.47712125471966	8.08362960815431	11.3951044082642	4.77215480804443	10.8829058680023	8.04908874033665	2.51884001527489	0.0998861613302904
nose	2.47712125471966	8.80201244354246	12.4043397903442	5.19968509674072	11.4840497842306	8.37942063655722	3.0272332993185	0.191005999900034
not	2.47712125471966	7.15099358558655	8.71255207061768	5.58943510055542	8.9344254983421	6.79120760108861	2.30420463051651	0.312773809385957
now	2.47712125471966	6.67450189590454	8.26896381378174	5.08003997802734	7.83197242126149	6.70946367142541	2.67194754672263	0.215123075282805
of	2.47712125471966	4.84178292751313	6.4629979133606	3.22056794166565	6106.33608872459	3.87113823904316	-5.88134510767163	0.957871123567276
off	2.47712125471966	6.31143474578858	8.85773754119873	3.76513195037842	9.16309254711756	5.17535140144285	2.85608595228288	0.485880518057931
on	2.47712125471966	4.94896912574768	6.44364309310913	3.45429515838623	13631.354840929	4.28298282290119	-5.42134343177742	0.804264303667649
open	2.47712125471966	8.58630013465879	11.025294303894	6.14730596542358	512.185568633333	4.92542308001113	-25.2010725024417	5.92046230138136
other	2.43534158750688	7.85225749015806	10.0195980072021	5.68491697311401	10.0460853403631	6.99022725813795	2.27118479018992	0.175735512582721
our	2.39019538333642	8.52379250526429	11.9502296447754	5.09735536575317	51987.5224477797	7.48343654186346	-3.40363503027647	0.535522064360174
out	2.47712125471966	6.35808348655701	8.29323291778564	4.42293405532837	8.69957204892862	5.64872849407795	2.48993765701048	0.470224449649979
outside	2.47712125471966	8.72092843055725	11.0672426223755	6.37461423873901	8.92575036060995	8.4727016821679	3.76916420030484	0.0515534412672912
over	2.47712125471966	7.60427069664001	9.48812770843506	5.72041368484497	10.1658593998511	7.18052973493469	2.16046269263053	0.411256108696542
owie	2.47712125471966	8.59844601154329	14.9756889343262	2.22120308876038	12.181289500509	6.80293254358292	3.22045661921101	0.0305574307808155
paper	2.47712125471966	10.3058412075043	13.8264055252075	6.78527688980103	13.8801622679336	10.068828363007	2.32358275374432	0.141362196369898
play	2.47712125471966	7.76088595390319	9.99362468719482	5.52814722061157	59427.2357451298	6.83185884164286	-7.60850628102716	0.91712188784523
playground	2.47712125471966	9.25586628913878	12.0586013793945	6.45313119888306	135.749996176933	8.02445295354625	-44.6968858971582	11.15283697316
put	2.47712125471966	4.53401184082031	5.67236995697021	3.39565372467041	5.82092681451177	4.36232062088033	2.2321206172818	0.195580111347919
puzzle	1.95460595760704	11.0463767051697	13.8219747543335	8.27077865600586	31577.5246221871	10.2454316340784	-2.42137385518731	0.41353777728977
read	2.3763654119631	5.99952244758606	9.23816013336182	2.7608847618103	8.94740381899017	4.72962492946968	2.26431850190679	0.133048553697172
red	1.99216349957489	11.0519814491272	14.21617603302	7.88778686523438	118715.747725502	9.52804996995626	-2.01929296044378	0.356159159598451
sad	2.41230901778801	10.4922015666962	14.1764707565308	6.80793237686157	14.5177606308058	9.0738140190147	2.15824599145565	0.243555295256981
same	2.47712125471966	8.14158678054807	11.1120281219482	5.17114543914795	11.2765841050326	7.73359809273442	2.40792005879183	0.287826935552114
say	2.47712125471966	8.57161951065062	11.80539894104	5.33784008026123	20866.5842425446	7.18006185999781	-10.2751437401021	1.37975597248609
