Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
drink	2.47712125471966	11.1100859286865	12.6686687469482	8.20679759979248	11.8357737476782	10.3843981096949	2.72435560602178	0.200130782406007
drop	2.3516910604724	13.0416868810719	16.3300018310547	7.03884363174438	16.0056481866668	10.077725575477	2.3516910604724	0.115009225766231
dry	0	1251.69628527708	13.7995271682739	8.9342098236084	2492.24082876762	11.1517417865411	-13.5339417126085	2.00296723990604
duck	0	2111.95731565084	10.8533430099487	6.13371658325195	4215.83077468582	8.08385661585725	-5.73714023519516	0.984225993022574
dump	2.33070014784261	12.797918936752	14.584885597229	9.13178730010986	14.9236316269385	10.6722062465655	2.33070014784261	0.204378635085195
each	2.47712125471966	14.2784888240643	17.8291034698486	7.88154125213623	17.3874559420165	11.1695217061121	2.50658812152927	0.0449116506953953
ear	2.413355305619	13.4629316219951	15.1790266036987	7.78574895858765	15.9107452755615	11.0151179684286	2.413355305619	0.293663192211969
eat	1.99820074758946	9.09773350802598	9.90138053894043	5.26002931594849	11.0074563848843	7.18801063116766	1.99820074758946	0.302161295275662
egg	2.29505911322164	9.28911422314242	10.5256433486938	5.87004041671753	11.0680063586136	7.51022208767124	2.29505911322164	0.405412566591726
every	0	38102.8097828989	18.8425636291504	9.90882110595703	76192.8996465916	12.7199192062419	-10.5020332804287	1.23655530621422
eye	2.21260185966829	12.2332501725162	15.0374317169189	5.36824607849121	15.4948804995451	8.97161984548726	2.21260185966829	0.249259452010567
face	0	16025.5847712803	13.0819911956787	4.64280271530151	32044.473420045	6.69612251569086	-5.95568006488126	0.887996487716504
fall	2.47712125471966	10.6556108614149	11.7712030410767	7.45771360397339	11.8728425278871	9.43837919494277	2.53708817113877	0.412267151226305
farm	1.87401117341341	11.3843766707281	11.6882925033569	6.70276689529419	14.243106611467	8.52564672998922	1.87401117341341	0.449839721922818
fast	2.47712125471966	11.3257434225992	15.3629007339478	5.09323263168335	14.7920530850079	7.85943376019058	2.82351337799898	0.286239773288593
find	2.21200869787692	9.39122631677694	11.2811861038208	4.87727069854736	11.4136984388005	7.36875419475338	2.21200869787692	0.0988002164782824
fine	2.26171426898227	10.7034553228999	12.0178880691528	7.40700387954712	11.9180572254236	9.48885342037615	2.26171426898227	0.163649543832702
finish	2.20528768969258	9.61485030795339	11.0784091949463	5.84508943557739	11.0279102444194	8.20179037148738	2.20528768969258	0.0312702965290937
first	2.47712125471966	10.4928502962858	11.8333654403687	8.14059925079346	11.0481524842338	9.93754810833776	2.86023083154313	0.2828884374238
fish	2.08069759000754	11.9270276075938	13.8636341094971	6.89815759658813	14.4206769355225	9.43337827966516	2.08069759000754	0.191607609061609
fit	2.26174964261916	14.1541003178635	16.7190341949463	5.02050256729126	18.4672321751174	9.8409684606096	2.26174964261916	0.347689062673833
fix	0	136.100092300894	17.3153915405273	8.32885360717773	260.878117897272	11.3220667045163	-0.99513119421384	0.737219945208547
flower	0	35535.4575355634	13.8522891998291	6.32565212249756	71062.1342710169	8.78080010997152	-2.60227951425896	0.431628062582023
food	2.05551547664231	11.9722135069267	13.2072343826294	8.10616588592529	13.8427270149466	10.1016999989068	2.05551547664231	0.236063432351463
foot	1.55241049231626	14.6019092470804	13.210638999939	3.77746200561523	22.9718347850082	6.23198370915267	1.55241049231626	0.426772658897101
for	1.74562260284506	8.68109417461794	8.75523376464844	5.438551902771	10.7157594104776	6.64642893875829	1.74562260284506	0.557287758690312
fork	2.47712125471966	11.4438133871025	13.2557249069214	6.75094127655029	12.8378728466085	10.0497539275966	2.57767997155774	0.191931061520415
friend	2.47712125471966	10.9704889612852	13.9367580413818	5.88502597808838	13.1713507050423	8.76962721752801	2.62637089959481	0.132558360700288
frog	2.47712125471966	14.2365782745045	20.7117786407471	5.522057056427	18.1539531335119	10.319203415497	2.80022063500198	0.0714894808291446
full	2.47712125471966	11.0648018610113	12.9708518981934	8.35308933258057	11.3037617914696	10.825841930553	2.9768938423181	0.0138507607180493
game	2.25987668751302	11.1193005759991	12.0602226257324	6.86362314224243	12.9068672090559	9.33173394294234	2.25987668751302	0.515956217105557
garage	0	4796.80753841165	13.6902618408203	4.93194818496704	9585.03587743017	8.57919939312747	-8.1173439834509	1.2510612526707
garbage	2.47712125471966	11.2865668324744	14.099081993103	7.55382013320923	11.9436635601921	10.6294701047567	2.90076542939091	0.01855523187328
garden	0	9347.42657145501	13.8687343597412	6.06736850738525	18686.1435828729	8.70956003712098	-6.88458489108344	1.02328930264458
gentle	2.47712125471966	10.2217284214147	12.7182683944702	5.62503290176392	11.5523317189472	8.89112512388212	2.70241609345385	0.0159949503934684
get	2.01162318435254	5.98650695522301	7.02316284179688	3.49740600585938	7.29639255301947	4.67662135742654	2.01162318435254	0.139716069041038
giraffe	0.715787761234654	15.3160623018517	13.2948045730591	6.19661331176758	22.2272459723742	8.4048786313292	0.715787761234654	1.17120289212894
girl	1.9992886357877	9.91104431087712	10.8940677642822	4.58134365081787	12.7629583801945	7.05913024155975	1.9992886357877	0.40920452187608
