Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	Accuracy	NumExamples
49	spoon	2730	13.909435272216797	0.11725078523159027	0.0	3
49	better	71	9.12159252166748	0.3091930150985718	0.0	6
49	over	86	9.488127708435059	1.343477725982666	0.0	15
49	time	144	10.984867095947266	1.2884471416473389	0.0	9
49	be	49	8.504486083984375	0.7202712297439575	0.0	16
49	about	106	9.890700340270996	0.9389238953590393	0.0	12
49	if	84	9.649129867553711	1.359410285949707	0.0	20
49	for	48	9.09329605102539	1.0781866312026978	0.0	22
49	other	131	10.019598007202148	0.9196581840515137	0.0	15
49	put	3	5.672369956970215	1.5083783864974976	0.021739130839705467	46
49	happy	149	10.230766296386719	0.7906739115715027	0.0	3
49	say	276	11.805398941040039	0.5896713733673096	0.0	5
49	did	61	8.795402526855469	0.9928637742996216	0.0	4
49	were	303	12.12096881866455	1.1353462934494019	0.0	6
